entity_id,entity_type,name,description,temperature_max,strength,conductivity,ph,salinity,source
gene-fallback-0038,gene,FOXO137,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0039,gene,NFKB138,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0040,gene,SLC139,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0041,gene,NFKB140,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0042,gene,FOXO141,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0043,gene,COL142,Synthetic fallback gene record; signaling pathway component. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0044,gene,HSP143,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0045,gene,ABC144,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0046,gene,NFKB145,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0047,gene,NFKB146,Synthetic fallback gene record; signaling pathway component. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0048,gene,SLC147,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0049,gene,MAPK148,Synthetic fallback gene record; signaling pathway component. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0050,gene,FOXO149,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0051,gene,SLC150,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0052,gene,HSP151,Synthetic fallback gene record; membrane transport associated gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0053,gene,HSP152,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0054,gene,SLC153,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0055,gene,COL154,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0056,gene,KRT155,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0057,gene,NFKB156,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0058,gene,FOXO157,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0059,gene,ABC158,Synthetic fallback gene record; stress response regulator. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0060,gene,COL159,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0061,gene,FOXO160,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0062,gene,HSP161,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0063,gene,ABC162,Synthetic fallback gene record; membrane transport associated gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0064,gene,SLC163,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0065,gene,MAPK164,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0066,gene,FOXO165,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0067,gene,FOXO166,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0068,gene,HSP167,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0069,gene,NFKB168,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0070,gene,FOXO169,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0071,gene,HSP170,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0072,gene,HSP171,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0073,gene,FOXO172,Synthetic fallback gene record; signaling pathway component. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0074,gene,FOXO173,Synthetic fallback gene record; membrane transport associated gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0075,gene,KRT174,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0076,gene,HSP175,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0077,gene,HSP176,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0078,gene,HSP177,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0079,gene,ABC178,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0080,gene,MAPK179,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0081,gene,HSP180,Synthetic fallback gene record; stress response regulator. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0082,gene,COL181,Synthetic fallback gene record; signaling pathway component. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0083,gene,COL182,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0084,gene,MAPK183,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0085,gene,FOXO184,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0086,gene,HSP185,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0087,gene,ABC186,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0088,gene,NFKB187,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0089,gene,SLC188,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0090,gene,NFKB189,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0091,gene,HSP190,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0092,gene,NFKB191,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0093,gene,ABC192,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0094,gene,KRT193,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0095,gene,SLC194,Synthetic fallback gene record; signaling pathway component. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0096,gene,KRT195,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0097,gene,MAPK196,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0098,gene,HSP197,Synthetic fallback gene record; signaling pathway component. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0099,gene,KRT198,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0100,gene,MAPK199,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0101,gene,ABC200,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0102,gene,COL201,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0103,gene,NFKB202,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0104,gene,COL203,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0105,gene,SLC204,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0106,gene,COL205,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0107,gene,SLC206,Synthetic fallback gene record; membrane transport associated gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0108,gene,MAPK207,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0109,gene,COL208,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0110,gene,KRT209,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0111,gene,MAPK210,Synthetic fallback gene record; stress response regulator. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0112,gene,SLC211,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0113,gene,COL212,Synthetic fallback gene record; signaling pathway component. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0114,gene,SLC213,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0115,gene,MAPK214,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0116,gene,ABC215,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0117,gene,MAPK216,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0118,gene,ABC217,Synthetic fallback gene record; signaling pathway component. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0119,gene,KRT218,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0120,gene,MAPK219,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0121,gene,MAPK220,Synthetic fallback gene record; stress response regulator. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0122,gene,SLC221,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0123,gene,MAPK222,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0124,gene,COL223,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0125,gene,COL224,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0126,gene,KRT225,Synthetic fallback gene record; signaling pathway component. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0127,gene,COL226,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0128,gene,NFKB227,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0129,gene,MAPK228,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0130,gene,MAPK229,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0131,gene,KRT230,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0132,gene,COL231,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0133,gene,FOXO232,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0134,gene,NFKB233,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0135,gene,COL234,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0136,gene,KRT235,Synthetic fallback gene record; membrane transport associated gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0137,gene,NFKB236,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0138,gene,SLC237,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0139,gene,FOXO238,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0140,gene,MAPK239,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0141,gene,SLC240,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0142,gene,ABC241,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0143,gene,NFKB242,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0144,gene,SLC243,Synthetic fallback gene record; stress response regulator. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0145,gene,NFKB244,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0146,gene,FOXO245,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0147,gene,NFKB246,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0148,gene,KRT247,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0149,gene,FOXO248,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0150,gene,FOXO249,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0151,gene,SLC250,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0152,gene,COL251,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0153,gene,NFKB252,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0154,gene,NFKB253,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0155,gene,MAPK254,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0156,gene,FOXO255,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0157,gene,SLC256,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0158,gene,HSP257,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0159,gene,HSP258,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0160,gene,MAPK259,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0161,gene,FOXO260,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0162,gene,MAPK261,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0163,gene,MAPK262,Synthetic fallback gene record; signaling pathway component. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0164,gene,NFKB263,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0165,gene,HSP264,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0166,gene,ABC265,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0167,gene,FOXO266,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0168,gene,KRT267,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0169,gene,SLC268,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0170,gene,COL269,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0171,gene,MAPK270,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0172,gene,FOXO271,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0173,gene,COL272,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0174,gene,HSP273,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0175,gene,SLC274,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0176,gene,SLC275,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0177,gene,ABC276,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0178,gene,KRT277,Synthetic fallback gene record; signaling pathway component. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0179,gene,ABC278,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0180,gene,ABC279,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0181,gene,MAPK280,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0182,gene,ABC281,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0183,gene,KRT282,Synthetic fallback gene record; stress response regulator. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0184,gene,COL283,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0185,gene,ABC284,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0186,gene,MAPK285,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0187,gene,MAPK286,Synthetic fallback gene record; signaling pathway component. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0188,gene,NFKB287,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0189,gene,KRT288,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0190,gene,MAPK289,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0191,gene,SLC290,Synthetic fallback gene record; stress response regulator. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0192,gene,FOXO291,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0193,gene,MAPK292,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0194,gene,FOXO293,Synthetic fallback gene record; signaling pathway component. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0195,gene,FOXO294,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0196,gene,KRT295,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0197,gene,KRT296,Synthetic fallback gene record; stress response regulator. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0198,gene,ABC297,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0199,gene,FOXO298,Synthetic fallback gene record; membrane transport associated gene. Organism: Mus musculus.,,,,,,GenBank fallback
gene-fallback-0200,gene,FOXO299,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0201,gene,ABC300,Synthetic fallback gene record; signaling pathway component. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0202,gene,MAPK301,Synthetic fallback gene record; membrane transport associated gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0203,gene,COL302,Synthetic fallback gene record; transcription linked protein coding gene. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0204,gene,MAPK303,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0205,gene,FOXO304,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
gene-fallback-0206,gene,KRT305,Synthetic fallback gene record; membrane transport associated gene. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0207,gene,SLC306,Synthetic fallback gene record; signaling pathway component. Organism: Homo sapiens.,,,,,,GenBank fallback
gene-fallback-0208,gene,NFKB307,Synthetic fallback gene record; membrane transport associated gene. Organism: Arabidopsis thaliana.,,,,,,GenBank fallback
gene-fallback-0209,gene,FOXO308,Synthetic fallback gene record; signaling pathway component. Organism: Escherichia coli.,,,,,,GenBank fallback
